image,ground_truth
test001_1.jpg,0149BBCD
test001_2.jpg,0247BUZO
test001_3.jpg,2248BPKM
test002_1.jpg,1235BGAE
test003_1.jpg,2346BUZF
test003_2.jpg,1599BJVK
test004_1.jpg,0269BEHV
test005_1.jpg,8789DDKM
test006_1.jpg,1239TKC
test007_1.jpg,5688ADEE
test008_1.jpg,1157DKAAB
test008_2.jpg,1799AAFE
test009_1.jpg,1588AHN
test009_2.jpg,1469KGB
test010_1.jpg,1469BCNP
test010_2.jpg,1147HUY
test011_1.jpg,1169HIL
test011_2.jpg,BRI9374
test011_3.jpg,0124DAIG
test012_1.jpg,1788EBA
test013_1.jpg,1349BUZP
test013_2.jpg,1128BWSO
test014_1.jpg,1388BDFX
test015_1.jpg,1789TADB
test016_1.jpg,1157QDE
test017_1.jpg,2889ADFS
test018_1.jpg,0367ALU
test019_1.jpg,7ADHS
test019_2.jpg,1599WYKB
test020_1.jpg,3468AGEK
test020_2.jpg,1239ADPY
test021_1.jpg,0179DABW
test021_2.jpg,1236ZVW
test022_1.jpg,1258WZO
test022_2.jpg,0122ELU
test022_3.jpg,2338LIB
test023_1.jpg,0137BJLO
test024_1.jpg,2469BTRU
test025_1.jpg,5558SPL
test025_2.jpg,2588RRL
test025_3.jpg,1158WZO
test025_4.jpg,0489UV
test026_1.jpg,2569NFD
test026_2.jpg,3368LZX
test027_1.jpg,0159IGN
test027_2.jpg,0119BCLR
test027_3.jpg,0148AAL
test028_1.jpg,1348LOE
test028_2.jpg,1346AAAL
test029_1.jpg,1158WWF
test029_2.jpg,1689GN
test029_3.jpg,1588LOO
test029_4.jpg,1346LAAA
test030_1.jpg,0268SNF
test030_2.jpg,1489GET
test031_1.jpg,0156LJQ
test031_2.jpg,O1568LQ
test031_3.jpg,1239LAAZ
test032_1.jpg,2457SYKB
test032_2.jpg,1129WK
test033_1.jpg,1456LKV
test033_2.jpg,2369LAG
test033_3.jpg,4789WG
test033_4.jpg,1267LABJ
test034_1.jpg,1118LSU
test034_2.jpg,O1167WV
test034_3.jpg,O1136SCF
test034_4.jpg,0257LAAD
test035_1.jpg,3469LNN
test035_2.jpg,2457LGI
test035_3.jpg,2489LAAM
test035_4.jpg,1669WYO
test036_1.jpg,1123BJJA
test036_2.jpg,1168BAEU
test037_1.jpg,O1577LV
test037_2.jpg,003LXR
test037_3.jpg,1789LVG
test038_1.jpg,1235DYCN
test038_2.jpg,1778LACU
test039_1.jpg,0169LVK
test040_1.jpg,1559SLL
test041_1.jpg,1123BAJJ
test042_1.jpg,1147ADFS
test043_1.jpg,1889WWY
test043_2.jpg,0147WPG
test044_1.jpg,0139LFK
test044_2.jpg,0014NEH
test045_1.jpg,1347JLS
test046_1.jpg,0147LABK
test046_2.jpg,1256LMX
test047_1.jpg,1245NYS
test047_2.jpg,1678LACE
test048_1.jpg,1369LBC
test048_2.jpg,1388WAY
test049_1.jpg,1367NED
test049_2.jpg,79NAP
test050_1.jpg,1256LOF
test050_2.jpg,0159NG
test051_1.jpg,1178NHC
test052_1.jpg,4679NKS
test052_2.jpg,2355NXAB
test052_3.jpg,0489NKJ
test053_1.jpg,O1356NAA
test054_1.jpg,0177NAAK
test054_2.jpg,0O148NAA
test055_1.jpg,0116NKS
test056_1.jpg,249NIAC
test056_2.jpg,1236NHB
test056_3.jpg,0134LHF
test057_1.jpg,1234NT
test057_2.jpg,1445NAB
test057_3.jpg,1369NAAH
test058_1.jpg,1335NACB
test058_2.jpg,2589NKJ
test058_3.jpg,0178NJL
test059_1.jpg,4778WPA
test059_2.jpg,1269BFXU
test060_1.jpg,1468LJE
test060_2.jpg,1457MITA
test061_1.jpg,1179AAJK
test061_2.jpg,1146BDDH
test062_1.jpg,4569BEPU
test062_2.jpg,2447EAS
test063_1.jpg,0128SBI
test064_1.jpg,1378AEG
test065_1.jpg,0167HWS
test066_1.jpg,0122THS
test066_2.jpg,0179HZY
test067_1.jpg,1558LBR
test067_2.jpg,1247ABEV
test068_1.jpg,0123BUZS
test068_2.jpg,1246GCM
test069_1.jpg,1138AAAK
test070_1.jpg,0126BBTO
test070_2.jpg,2579BBYK
test071_1.jpg,4559GGA
test072_1.jpg,0178BBGI
test073_1.jpg,1178TBH
test073_2.jpg,0133AFP
test074_1.jpg,1368GGE
test074_2.jpg,0118BCMR
test075_1.jpg,2447GXZ
test075_2.jpg,1379GBP
test075_3.jpg,O0667F
test076_1.jpg,1125GASF
test076_2.jpg,005EMA
test076_3.jpg,4689GSN
test077_1.jpg,1457GQZ
test078_1.jpg,1134HHD
test079_1.jpg,1688TGY
test079_2.jpg,0126AAJ
test080_1.jpg,77DHSB
test080_2.jpg,O1168BTI
test080_3.jpg,0116DDAE
test081_1.jpg,0789FBD
test081_2.jpg,1299FAM
test082_1.jpg,1248EYZ
test082_2.jpg,0399BUEX
test083_1.jpg,0255FAAE
test083_2.jpg,2455FCQ
test084_1.jpg,1158BPPY
test084_2.jpg,1224BVOY
test085_1.jpg,1135BKIF
test085_2.jpg,2389BFVJ
test085_3.jpg,0256BSKZ
test086_1.jpg,O1129BNJ
test086_2.jpg,1556BNRC
test087_1.jpg,2368BWXR
test087_2.jpg,1367BNXK
test087_3.jpg,1225FFCQ
test087_4.jpg,0349NHR
test088_1.jpg,0129BBTY
test088_2.jpg,0129BVKA
test089_1.jpg,0689DN
test089_2.jpg,0468EZA
test089_3.jpg,1246BKKR
test090_1.jpg,1349TE
test090_2.jpg,5799NU
test091_1.jpg,0129ZWKB
test091_2.jpg,1279BKXV
test092_1.jpg,0114BAAA
test092_2.jpg,1579TFN
test092_3.jpg,O2346BPC
test093_1.jpg,0226BBIU
test094_1.jpg,1255GEJ
test095_1.jpg,0112KADB
test095_2.jpg,0123BJUK
test095_3.jpg,28BYHH
test096_1.jpg,O1345BCJ
test096_2.jpg,0125BNRO
test097_1.jpg,0156GNBO
test097_2.jpg,3456BSVL
test098_1.jpg,1779BBDO
test099_1.jpg,0127BBPQ
test099_2.jpg,1289BWZT
test100_1.jpg,0117RPGB
test100_2.jpg,1234BPZJ
